NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
1,"ALFALFA SEEDS,SPROUTED,RAW",92.82,23,3.99,0.69,0.4,2.1,1.9,0.2,32,0.96,27,70,79,6,0.92,0.157,0.188,0.6,8.2,0.076,0.126,0.481,0.563,0.034,36,0,36,36,14.4,0,155,8,0,6,87,6,0,0,0.02,0,0,30.5,0.069,0.056,0.409,0
2,"AMARANTH LEAVES,RAW",91.69,23,2.46,0.33,1.5,4.02,,,215,2.32,55,50,611,20,0.9,0.162,0.885,0.9,43.3,0.027,0.158,0.658,0.064,0.192,85,0,85,85,,0,2917,146,0,,,,,,,0,0,1140,0.091,0.076,0.147,0
3,"AMARANTH LEAVES,CKD,BLD,DRND,WO/SALT",91.49,21,2.11,0.18,2.11,4.11,,,209,2.26,55,72,641,21,0.88,0.158,0.861,0.9,41.1,0.02,0.134,0.559,0.062,0.177,57,0,57,57,,0,2770,139,0,,,,,,,0,0,,0.05,0.041,0.08,0
4,"ARROWHEAD,RAW",72.48,99,5.33,0.29,1.67,20.23,,,10,2.57,51,174,922,22,0.28,0.171,0.36,0.7,1.1,0.17,0.073,1.65,0.599,0.26,14,0,14,14,,0,0,0,0,,,,,,,0,0,,,,,0
5,"ARROWHEAD,CKD,BLD,DRND,WO/SALT",77.08,78,4.49,0.1,2.19,16.14,,,7,1.21,49,197,881,18,0.22,0.135,0.285,0.6,0.3,0.144,0.06,1.16,0.449,0.206,9,0,9,9,,0,0,0,0,,,,,,,0,0,,,,,0
6,"ARTICHOKES,(GLOBE OR FRENCH),RAW",84.94,47,3.27,0.15,1.13,10.51,5.4,0.99,44,1.28,60,90,370,94,0.49,0.231,0.256,0.2,11.7,0.072,0.066,1.046,0.338,0.116,68,0,68,68,34.4,0,13,1,0,0,8,0,0,464,0.19,0,0,14.8,0.036,0.005,0.064,0
7,"ARTICHOKES,(GLOBE OR FRENCH),CKD,BLD,DRND,WO/SALT",84.08,53,2.89,0.34,0.74,11.95,5.7,0.99,21,0.61,42,73,286,60,0.4,0.127,0.225,0.2,7.4,0.05,0.089,1.11,0.24,0.081,89,0,89,89,34.4,0,13,1,0,0,8,0,0,464,0.19,0,0,14.8,0.079,0.011,0.145,0
8,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,UNPREP",88.59,38,2.63,0.43,0.6,7.75,3.9,,19,0.5,27,58,248,47,0.32,0.054,0.243,0.2,5.3,0.058,0.14,0.86,0.188,0.082,126,0,126,126,,0,154,8,0,,,,,,,0,0,,0.099,0.012,0.179,0
9,"ARTICHOKES,(GLOBE OR FRENCH),FRZ,CKD,BLD,DRND,WO/SALT",86.5,45,3.11,0.5,0.71,9.18,4.6,0.84,21,0.56,31,61,264,53,0.36,0.061,0.273,0.2,5,0.062,0.158,0.915,0.2,0.087,119,0,119,119,29.2,0,11,1,0,0,7,0,0,394,0.16,0,0,12.6,0.119,0.015,0.216,0
10,"ASPARAGUS,RAW",93.22,20,2.2,0.12,0.58,3.88,2.1,1.88,24,2.14,14,52,202,2,0.54,0.189,0.158,2.3,5.6,0.143,0.141,0.978,0.274,0.091,52,0,52,52,16,0,756,38,0,9,449,0,0,710,1.13,0,0,41.6,0.04,0,0.05,0
11,"ASPARAGUS,CKD,BLD,DRND",92.63,22,2.4,0.22,0.63,4.11,2,1.3,23,0.91,14,54,224,14,0.6,0.165,0.154,6.1,7.7,0.162,0.139,1.084,0.225,0.079,149,0,149,149,26.1,0,1006,50,0,0,604,0,30,771,1.5,0,0,50.6,0.048,0,0.105,0
12,"ASPARAGUS,CND,REG PK,SOL&LIQUIDS",94.32,15,1.8,0.18,1.22,2.48,1,,15,0.6,9,38,172,284,0.47,0.107,0.152,1.6,16.5,0.054,0.089,0.851,0.124,0.098,85,0,85,85,,0,526,,0,,,,,,1.16,0,0,,0.044,0.006,0.085,0
13,"ASPARAGUS,CND,DRND SOL",93.98,19,2.14,0.65,0.77,2.46,1.6,1.06,16,1.83,10,43,172,287,0.4,0.096,0.17,1.7,18.4,0.061,0.1,0.954,0.139,0.11,96,0,96,96,21.4,0,822,41,0,0,493,0,24,630,1.22,0,0,41.3,0.147,0.021,0.284,0
14,"ASPARAGUS,FRZ,UNPREP",91.82,24,3.23,0.23,0.62,4.1,1.9,,25,0.73,14,64,253,8,0.59,0.137,0.203,1.7,31.8,0.121,0.131,1.202,0.184,0.111,191,0,191,191,,0,948,47,0,,,,,,,0,0,,0.052,0.007,0.101,0
15,"ASPARAGUS,FRZ,CKD,BLD,DRND,WO/SALT",94.1,18,2.95,0.42,0.61,1.92,1.6,0.32,18,0.56,10,49,172,3,0.41,0.105,0.14,3.9,24.4,0.065,0.103,1.038,0.158,0.02,135,0,135,135,20.9,0,806,40,0,0,483,0,24,618,1.2,0,0,80,0.096,0.013,0.185,0
16,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,RAW",89.25,30,5.3,0.69,1.47,3.29,,,84,2.04,85,99,608,11,0.3,0.201,0.536,0.9,88,0.181,0.362,1.11,0.063,0.803,128,0,128,128,,0,1734,87,0,,,,,,,0,0,,,,,0
17,"BALSAM-PEAR (BITTER GOURD),LEAFY TIPS,CKD,BLD,DRND,WO/SALT",88.69,34,3.6,0.2,0.83,6.68,1.9,1.04,42,1.02,94,77,602,13,0.3,0.201,0.536,0.9,55.6,0.147,0.282,0.995,0.06,0.76,88,0,88,88,21,0,2416,121,0,0,1450,0,0,2638,1.45,0,0,163.1,0.032,0.005,0.083,0
18,"BALSAM-PEAR (BITTER GOURD),PODS,RAW",94.03,17,1,0.17,1.1,3.7,2.8,,19,0.43,17,31,296,5,0.8,0.034,0.089,0.2,84,0.04,0.04,0.4,0.212,0.043,72,0,72,72,,0,471,24,0,185,190,,,170,,0,0,,,,,0
19,"BALSAM-PEAR (BITTER GOURD),PODS,CKD,BLD,DRND,WO/SALT",93.95,19,0.84,0.18,0.71,4.32,2,1.95,9,0.38,16,36,319,6,0.77,0.033,0.086,0.2,33,0.051,0.053,0.28,0.193,0.041,51,0,51,51,10.8,0,113,6,0,0,68,0,0,1323,0.14,0,0,4.8,0.014,0.033,0.078,0
20,"BAMBOO SHOOTS,RAW",91,27,2.6,0.3,0.9,5.2,2.2,3,13,0.5,3,59,533,4,1.1,0.19,0.262,0.8,4,0.15,0.07,0.6,0.161,0.24,7,0,7,7,0,0,20,1,0,0,12,0,0,0,1,0,0,0,0.069,0.007,0.134,0
21,"BAMBOO SHOOTS,CKD,BLD,DRND,WO/SALT",95.92,12,1.53,0.22,0.41,1.92,1,,12,0.24,3,20,533,4,0.47,0.082,0.113,0.4,0,0.02,0.05,0.3,0.066,0.098,2,0,2,2,,0,0,0,0,,,,,,,0,0,,0.051,0.005,0.098,0
22,"BAMBOO SHOOTS,CND,DRND SOL",94.32,19,1.72,0.4,0.34,3.22,1.4,1.89,8,0.32,4,25,80,7,0.65,0.114,0.157,0.5,1.1,0.026,0.026,0.14,0.092,0.136,3,0,3,3,0,0,13,1,0,0,8,0,0,0,0.63,0,0,0,0.092,0.009,0.178,0
23,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,RAW",90.7,29,4.2,0.5,0.5,4.1,,,17,0.81,21,37,187,6,0.4,0.159,0.182,0.6,38.7,0.37,0.25,2.92,0.368,0.085,59,0,59,59,,0,2,0,0,,,,,,,0,0,,0.072,0.039,0.276,0
24,"BEANS,KIDNEY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",89.3,33,4.83,0.58,0.58,4.72,,,19,0.89,23,38,194,7,0.44,0.174,0.199,0.6,35.6,0.362,0.273,3.024,0.381,0.093,47,0,47,47,,0,2,0,0,,,,,,,0,0,,0.083,0.045,0.318,0
25,"LIMA BNS,IMMAT SEEDS,RAW",70.24,113,6.84,0.86,1.89,20.17,4.9,1.48,34,3.14,58,136,467,8,0.78,0.318,1.215,1.8,23.4,0.217,0.103,1.474,0.247,0.204,34,0,34,34,40,0,209,10,0,0,126,0,0,0,0.32,0,0,5.6,0.198,0.05,0.419,0
26,"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",67.17,123,6.81,0.32,2.06,23.64,5.4,1.63,32,2.45,74,130,570,17,0.79,0.305,1.252,2,10.1,0.14,0.096,1.04,0.257,0.193,26,0,26,26,44.1,0,303,15,0,0,182,0,0,0,0.14,0,0,6.2,0.073,0.019,0.154,0
27,"LIMA BNS,IMMAT SEEDS,CND,REG PK,SOL & LIQUIDS",81.17,71,4.07,0.29,1.14,13.33,3.6,,28,1.61,34,71,285,252,0.64,0.162,0.7,1.1,7.3,0.029,0.043,0.532,0.095,0.062,16,0,16,16,,0,150,8,0,,,,,,,0,0,,0.066,0.016,0.139,0
28,"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,UNPREP",72.05,106,6.4,0.35,1.37,19.83,5.5,1.39,24,1.51,38,74,478,58,0.49,0.062,0.345,1.7,19.3,0.092,0.067,1.187,0.191,0.136,32,0,32,32,37.6,0,223,11,0,0,134,0,0,0,0.72,0,0,5.3,0.081,0.021,0.172,0
29,"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,WO/SALT",72.98,103,6.07,0.34,1.3,19.32,5.3,1.34,30,1.82,42,97,304,69,0.74,0.17,0.648,0.6,12.8,0.074,0.061,1.069,0.163,0.122,21,0,21,21,36.3,0,190,10,0,0,114,0,0,0,0.29,0,0,5.1,0.077,0.02,0.163,0
30,"LIMA BNS,IMMAT SEEDS,FRZ,BABY,UNPREP",65.46,132,7.59,0.44,1.37,25.14,6,,35,2.21,50,104,452,52,0.63,0.128,0.702,2.1,8.3,0.114,0.075,1.023,0.187,0.16,28,0,28,28,,0,189,9,0,,,,,,,0,0,,0.102,0.026,0.216,0
31,"LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,WO/SALT",72.35,105,6.65,0.3,1.25,19.45,4.8,1.37,28,1.96,56,112,411,29,0.55,0.197,0.813,1.7,5.8,0.07,0.055,0.77,0.177,0.115,16,0,16,16,37.2,0,167,8,0,0,100,0,0,0,0.64,0,0,5.2,0.068,0.017,0.145,0
32,"MUNG BNS,MATURE SEEDS,SPROUTED,RAW",90.4,30,3.04,0.18,0.44,5.94,1.8,4.13,13,0.91,21,54,149,6,0.41,0.164,0.188,0.6,13.2,0.084,0.124,0.749,0.38,0.088,61,0,61,61,14.4,0,21,1,0,6,6,6,0,0,0.1,0,0,33,0.046,0.022,0.058,0
33,"MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",93.39,21,2.03,0.09,0.3,4.19,0.8,2.84,12,0.65,14,28,101,10,0.47,0.122,0.14,0.6,11.4,0.05,0.102,0.817,0.243,0.054,29,0,29,29,9.9,0,13,1,0,4,4,4,0,0,0.07,0,0,22.7,0.025,0.012,0.032,0
34,"MUNG BNS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED",84.3,50,4.3,0.21,0.6,10.59,1.9,,13,1.9,33,79,219,9,0.9,0.255,0.292,0.6,16,0.14,0.18,1.2,0.559,0.13,70,0,70,70,,0,31,2,0,,,,,,,0,0,,0.039,0.056,0.068,0
35,"BEANS,NAVY,MATURE SEEDS,SPROUTED,RAW",79.15,67,6.15,0.7,0.95,13.05,,,15,1.93,101,100,307,13,0.89,0.356,0.408,0.6,18.8,0.39,0.215,1.22,0.825,0.191,132,0,132,132,,0,4,0,0,,,,,,,0,0,,0.085,0.052,0.407,0
36,"BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,WO/SALT",76.02,78,7.07,0.81,1.09,15.01,,,16,2.11,111,103,317,14,0.97,0.389,0.446,0.6,17.3,0.381,0.235,1.263,0.854,0.198,106,0,106,106,,0,4,0,0,,,,,,,0,0,,0.098,0.06,0.468,0
37,"BEANS,PINTO,IMMAT SEEDS,FRZ,UNPREP",55.8,170,9.8,0.5,1.4,32.5,5.7,,58,3,60,117,756,92,0.77,0.098,0.546,1.5,1,0.34,0.12,0.7,0.302,0.215,50,0,50,50,,0,0,0,0,,,,,,,0,0,,0.061,0.037,0.291,0
38,"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,WO/SALT",58.01,162,9.31,0.48,1.33,30.87,5.4,,52,2.71,54,100,646,83,0.69,0.088,0.493,1.4,0.7,0.274,0.108,0.632,0.258,0.194,34,0,34,34,,0,0,,0,,,,,,,0,0,,0.058,0.035,0.276,0
39,"BEANS,SHELLIE,CND,SOL & LIQUIDS",90.69,30,1.76,0.19,1.17,6.19,3.4,0.63,29,0.99,15,30,109,334,0.27,0.08,0.382,2.1,3.1,0.032,0.054,0.205,0.133,0.049,18,0,18,18,13.2,0,228,11,0,0,137,0,0,331,0.03,0,0,8,0.023,0.014,0.11,0
40,"BEANS,SNAP,GREEN,RAW",90.32,31,1.83,0.22,0.66,6.97,2.7,3.26,37,1.03,25,38,211,6,0.24,0.069,0.216,0.6,12.2,0.082,0.104,0.734,0.225,0.141,33,0,33,33,15.3,0,690,35,0,69,379,0,0,640,0.41,0,0,43,0.05,0.01,0.113,0
41,"BEANS,SNAP,GRN,CKD,BLD,DRND,WO/SALT",89.22,35,1.89,0.28,0.73,7.88,3.2,3.63,44,0.65,18,29,146,1,0.25,0.057,0.285,0.2,9.7,0.074,0.097,0.614,0.074,0.056,33,0,33,33,16.9,0,633,32,0,0,380,0,0,641,0.46,0,0,47.9,0.064,0.011,0.145,0
42,"BEANS,SNAP,GRN,CND,REG PK,SOL & LIQUIDS",95.06,15,0.72,0.17,0.77,3.27,1.5,1.25,29,1.02,13,18,92,192,0.36,0.037,0.205,0,2.2,0.015,0.02,0.2,0.106,0.03,26,0,26,26,,0,263,13,0,116,91,18,0,338,0.02,0,0,29,0.04,0.007,0.09,0
43,"BEANS,SNAP,GRN,CND,REG PK,DRND SOL",93.52,21,1.05,0.41,0.83,4.19,1.9,1.44,37,0.89,13,22,96,268,0.19,0.039,0.175,0.4,2.8,0.016,0.046,0.206,0.2,0.03,24,0,24,24,14.7,0,353,18,0,156,122,24,0,384,0.03,0,0,38.9,0.093,0.017,0.211,0
44,"BEANS,SNAP,CND,ALL STYLES,SEASONED,SOL&LIQUIDS",94.3,16,0.83,0.2,1.18,3.49,1.5,,22,0.47,13,16,93,373,0.14,0.06,0.312,0.2,3.1,0.025,0.049,0.233,0.098,0.044,18,0,18,18,,0,525,26,0,,,,,,,0,0,,0.045,0.008,0.102,0
45,"BEANS,SNAP,GRN,FRZ,ALL STYLES,UNPREP",89.93,39,1.79,0.21,0.53,7.54,2.6,2.21,42,0.85,22,32,186,3,0.26,0.049,0.369,0.6,12.9,0.098,0.091,0.496,0.104,0.044,15,0,15,15,,0,547,27,0,72,292,0,0,663,0.42,0,0,44.8,0.047,0.008,0.108,0
46,"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND WO/SALT",91.42,28,1.49,0.17,0.47,6.45,3,1.88,42,0.66,19,29,159,1,0.24,0.059,0.288,0.4,4.1,0.035,0.09,0.383,0.049,0.06,23,0,23,23,13.5,0,419,21,0,55,224,0,0,508,0.04,0,0,38.1,0.044,0.008,0.083,0
47,"BEANS,SNAP,GRN,FRZ,ALL STYLES,MICROWAVED",89.93,40,1.98,0.41,0.7,6.98,3.4,2.6,61,0.8,29,42,237,3,0.31,0.066,0.33,1,11,0.073,0.103,0.485,0.168,0.063,12,,12,,,,519,26,,68,277,0,0,629,0.42,,,57.7,0.047,0.008,0.108,0
48,"BEANS,SNAP,GRN,MICROWAVED",90.04,39,2.31,0.5,0.74,6.41,3.4,3.22,55,0.83,28,49,323,3,0.38,0.09,0.332,,7.3,0.078,0.075,0.773,0.3,0.124,47,,47,,,,,,,,,,,,,,,,,,,0
49,"BEETS,RAW",87.58,43,1.61,0.17,1.08,9.56,2.8,6.76,16,0.8,23,40,325,78,0.35,0.075,0.329,0.7,4.9,0.031,0.04,0.334,0.155,0.067,109,0,109,109,6,0,33,2,0,0,20,0,0,0,0.04,0,0,0.2,0.027,0.032,0.06,0
50,"BEETS,CKD,BLD,DRND",87.06,44,1.68,0.18,1.12,9.96,2,7.96,16,0.79,23,38,305,77,0.35,0.074,0.326,0.7,3.6,0.027,0.04,0.331,0.145,0.067,80,0,80,80,6.3,0,35,2,0,0,21,0,0,0,0.04,0,0,0.2,0.028,0.035,0.064,0
51,"BEETS,CND,REG PK,SOL&LIQUIDS",91.3,30,0.73,0.09,0.74,7.14,1.2,6.53,18,0.73,18,15,159,143,0.34,0.043,0.411,0.1,2.8,0.01,0.038,0.151,0.15,0.055,29,0,29,29,7.2,0,23,1,0,0,14,0,0,0,0.03,0,0,0.2,0.011,0.013,0.025,0
52,"BEETS,CND,DRND SOL",90.96,31,0.91,0.14,0.78,7.21,1.8,5.51,15,1.82,17,17,148,194,0.21,0.059,0.287,0.5,4.1,0.01,0.04,0.157,0.156,0.057,30,0,30,30,7.5,0,24,1,0,0,15,0,0,0,0.03,0,0,0.2,0.022,0.027,0.049,0
53,"BEET GREENS,RAW",91.02,22,2.2,0.13,2.33,4.33,3.7,0.5,117,2.57,70,41,762,226,0.38,0.191,0.391,0.9,30,0.1,0.22,0.4,0.25,0.106,15,0,15,15,0.4,0,6326,316,0,3,3794,0,0,1503,1.5,0,0,400,0.02,0.026,0.046,0
54,"BEET GRNS,CKD,BLD,DRND,WO/SALT",89.13,27,2.57,0.2,2.64,5.46,2.9,0.6,114,1.9,68,41,909,241,0.5,0.251,0.514,0.9,24.9,0.117,0.289,0.499,0.329,0.132,14,0,14,14,0.5,0,7654,383,0,4,4590,0,0,1819,1.81,0,0,484,0.031,0.038,0.07,0
55,"BROADBEANS,IMMAT SEEDS,RAW",81,72,5.6,0.6,1.1,11.7,4.2,,22,1.9,38,95,250,50,0.58,0.074,0.32,1.2,33,0.17,0.11,1.5,0.086,0.038,96,0,96,96,,0,350,18,0,,,,,,,0,0,,0.138,0.017,0.31,0
56,"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,WO/SALT",83.7,62,4.8,0.5,0.9,10.1,3.6,,18,1.5,31,73,193,41,0.47,0.06,0.261,1,19.8,0.128,0.09,1.2,0.066,0.029,58,0,58,58,,0,270,14,0,,,,,,,0,0,,0.142,0.02,0.303,0
57,"BROCCOLI,RAW",89.3,34,2.82,0.37,0.87,6.64,2.6,1.7,47,0.73,21,66,316,33,0.41,0.049,0.21,2.5,89.2,0.071,0.117,0.639,0.573,0.175,63,0,63,63,18.7,0,623,31,0,25,361,1,0,1403,0.78,0,0,101.6,0.039,0.011,0.038,0
58,"BROCCOLI,CKD,BLD,DRND,WO/SALT",89.25,35,2.38,0.41,0.77,7.18,3.3,1.39,40,0.67,21,67,293,41,0.45,0.061,0.194,1.6,64.9,0.063,0.123,0.553,0.616,0.2,108,0,108,108,40.1,0,1548,77,0,0,929,0,0,1080,1.45,0,0,141.1,0.079,0.04,0.17,0
59,"BROCCOLI,FRZ,CHOPD,UNPREP",91.46,26,2.81,0.29,0.66,4.78,3,1.35,56,0.81,18,50,212,24,0.48,0.038,0.294,2.8,56.4,0.053,0.096,0.47,0.279,0.13,67,0,67,67,14.9,0,1034,52,0,20,610,1,0,1120,1.22,0,0,81.1,0.044,0.02,0.136,0
60,"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,WO/SALT",90.72,28,3.1,0.12,0.71,5.35,3,1.47,33,0.61,13,49,142,11,0.28,0.034,0.223,0.7,40.1,0.055,0.081,0.458,0.274,0.13,56,0,56,56,16.2,0,1011,51,0,19,597,1,0,1095,1.32,0,0,88.1,0.018,0.008,0.055,0
61,"BROCCOLI,FRZ,SPEARS,UNPREP",90.55,29,3.06,0.34,0.7,5.35,3,1.47,41,0.72,16,59,250,17,0.34,0.036,0.256,1.9,68.3,0.072,0.114,0.462,0.242,0.175,94,0,94,94,,0,1138,57,0,15,675,1,0,1525,1.35,0,0,101.4,0.052,0.024,0.162,0
62,"BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,WO/SALT",90.72,28,3.1,0.11,0.71,5.36,3,1.47,51,0.61,20,55,180,24,0.3,0.043,0.325,1.9,40.1,0.055,0.081,0.458,0.274,0.13,30,0,30,30,16.2,0,1011,51,0,19,597,1,0,1095,1.32,0,0,88.1,0.018,0.008,0.055,0
63,"BROCCOLI RAAB,RAW",92.55,22,3.17,0.49,0.93,2.85,2.7,0.38,108,2.14,22,73,196,33,0.77,0.042,0.395,1,20.2,0.162,0.129,1.221,0.322,0.171,83,0,83,83,18.3,0,2622,131,0,0,1573,0,0,1121,1.62,0,0,224,0.05,0.026,0.13,0
64,"BROCCOLI RAAB,CKD",91.41,33,3.83,0.52,1.11,3.12,2.8,0.62,118,1.27,27,82,343,56,0.54,0.075,0.38,1.3,37,0.169,0.14,2.015,0.448,0.22,71,0,71,71,33.6,0,4533,227,0,0,2720,0,0,1683,2.53,0,0,256,0.057,0.03,0.15,0
65,"BRUSSELS SPROUTS,RAW",86,43,3.38,0.3,1.37,8.95,3.8,2.2,42,1.4,23,69,389,25,0.42,0.07,0.337,1.6,85,0.139,0.09,0.745,0.309,0.219,61,0,61,61,19.1,0,754,38,0,6,450,0,0,1590,0.88,0,0,177,0.062,0.023,0.153,0
66,"BRUSSELS SPROUTS,CKD,BLD,DRND,WO/SALT",88.9,36,2.55,0.5,0.95,7.1,2.6,1.74,36,1.2,20,56,317,21,0.33,0.083,0.227,1.5,62,0.107,0.08,0.607,0.252,0.178,60,0,60,60,40.6,0,775,39,0,0,465,0,0,1290,0.43,0,0,140.3,0.102,0.038,0.255,0
67,"BRUSSELS SPROUTS,FRZ,UNPREP",87.07,41,3.78,0.41,0.88,7.86,3.8,,26,0.93,20,62,370,10,0.31,0.033,0.311,1.5,74.1,0.105,0.122,0.638,0.285,0.202,123,0,123,123,,0,617,31,0,,370,,,,,0,0,,0.084,0.031,0.207,0
68,"BRUSSELS SPROUTS,FRZ,CKD,BLD,DRND,WO/SALT",86.74,42,3.64,0.39,0.91,8.32,4.1,2.08,26,0.48,18,56,290,15,0.24,0.034,0.206,0.6,45.7,0.103,0.113,0.537,0.342,0.289,101,0,101,101,18.1,0,926,46,0,0,555,0,0,1541,0.51,0,0,193.5,0.081,0.03,0.2,0
69,"BURDOCK ROOT,RAW",80.09,72,1.53,0.15,0.89,17.34,3.3,2.9,41,0.8,38,51,308,5,0.33,0.077,0.232,0.7,3,0.01,0.03,0.3,0.321,0.24,23,0,23,23,11.7,0,0,0,0,0,0,0,0,0,0.38,0,0,1.6,0.025,0.037,0.059,0
70,"BURDOCK ROOT,CKD,BLD,DRND,WO/SALT",75.64,88,2.09,0.14,0.98,21.15,1.8,3.55,49,0.77,39,93,360,4,0.38,0.089,0.27,0.9,2.6,0.039,0.058,0.32,0.353,0.279,20,0,20,20,14.3,0,0,0,0,0,0,0,0,0,0.46,0,0,2,0.023,0.035,0.055,0
71,"BUTTERBUR,(FUKI),RAW",94.5,14,0.39,0.04,1.46,3.61,,,103,0.1,14,12,655,7,0.16,0.103,0.274,0.9,31.5,0.02,0.02,0.2,0.032,0.096,10,0,10,10,,0,50,3,0,,,,,,,0,0,,,,,0
72,"BUTTERBUR,CKD,BLD,DRND,WO/SALT",96.7,8,0.23,0.02,0.88,2.16,,,59,0.1,8,7,354,4,0.09,0.059,0.156,0.9,18.9,0.01,0.01,0.1,0.018,0.052,4,0,4,4,,0,27,1,0,,,,,,,0,0,,,,,0
73,"BUTTERBUR,CANNED",97.92,3,0.11,0.13,1.46,0.38,,,34,0.63,2,4,12,4,0.06,0.037,0.098,0.9,11.9,0.006,0.006,0.14,0.011,0.033,3,0,3,3,,0,0,0,0,,,,,,,0,0,,,,,0
74,"CABBAGE,RAW",92.18,25,1.28,0.1,0.64,5.8,2.5,3.2,40,0.47,12,26,170,18,0.18,0.019,0.16,0.3,36.6,0.061,0.04,0.234,0.212,0.124,43,0,43,43,10.7,0,98,5,0,33,42,0,0,30,0.15,0,0,76,0.034,0.017,0.017,0
75,"CABBAGE,CKD,BLD,DRND,WO/SALT",92.57,23,1.27,0.06,0.59,5.51,1.9,2.79,48,0.17,15,33,196,8,0.2,0.017,0.205,0.6,37.5,0.061,0.038,0.248,0.174,0.112,30,0,30,30,20.3,0,80,4,0,0,48,0,0,27,0.14,0,0,108.7,0,0.019,0.023,0
76,"CABBAGE,RED,RAW",90.39,31,1.43,0.16,0.64,7.37,2.1,3.83,45,0.8,16,30,243,27,0.22,0.017,0.243,0.6,57,0.064,0.069,0.418,0.147,0.209,18,0,18,18,17.1,0,1116,56,0,0,670,0,20,329,0.11,0,0,38.2,0.021,0.012,0.08,0
77,"CABBAGE,RED,CKD,BLD,DRND,WO/SALT",90.84,29,1.51,0.09,0.62,6.94,2.6,3.32,42,0.66,17,33,262,28,0.25,0.054,0.223,2.3,34.4,0.071,0.06,0.382,0.154,0.225,24,0,24,24,21.4,0,33,2,0,0,20,0,0,20,0.12,0,0,47.6,0.011,0.007,0.043,0
78,"CABBAGE,SAVOY,RAW",91,27,2,0.1,0.8,6.1,3.1,2.27,35,0.4,28,42,230,28,0.27,0.062,0.18,0.9,31,0.07,0.03,0.3,0.187,0.19,80,0,80,80,12.3,0,1000,50,0,0,600,0,0,77,0.17,0,0,68.8,0.013,0.007,0.049,0
79,"CABBAGE,SAVOY,CKD,BLD,DRND,WO/SALT",92,24,1.8,0.09,0.7,5.41,2.8,,30,0.38,24,33,184,24,0.23,0.052,0.152,0.7,17,0.051,0.02,0.024,0.159,0.152,46,0,46,46,,0,889,44,0,,,,,,,0,0,,0.012,0.007,0.043,0
80,"CABBAGE,CHINESE (PAK-CHOI),RAW",95.32,13,1.5,0.2,0.8,2.18,1,1.18,105,0.8,19,37,252,65,0.19,0.021,0.159,0.5,45,0.04,0.07,0.5,0.088,0.194,66,0,66,66,6.4,0,4468,223,0,1,2681,0,0,40,0.09,0,0,45.5,0.027,0.015,0.096,0
81,"CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,WO/SALT",95.55,12,1.56,0.16,0.95,1.78,1,0.83,93,1.04,11,29,371,34,0.17,0.019,0.144,0.4,26,0.032,0.063,0.428,0.079,0.166,41,0,41,41,12.1,0,4249,212,0,1,2549,0,0,38,0.09,0,0,34,0.021,0.012,0.077,0
82,"CABBAGE,KIMCHI",94.3,15,1.1,0.5,1.7,2.4,1.6,1.06,33,2.5,14,24,151,498,0.22,0.024,,0.5,0,0.01,0.21,1.1,,0.213,52,0,52,52,15.5,0,93,5,0,1,55,0,0,49,0.11,0,0,43.6,0.067,0.037,0.241,0
83,"CABBAGE,CHINESE (PE-TSAI),RAW",94.39,16,1.2,0.2,0.98,3.23,1.2,1.41,77,0.31,13,29,238,9,0.23,0.036,0.19,0.6,27,0.04,0.05,0.4,0.105,0.232,79,0,79,79,7.6,0,318,16,0,1,190,0,0,48,0.12,0,0,42.9,0.043,0.023,0.072,0
