NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
302,"POTATOES,HASH BROWN,FRZ,W/ BUTTER SAU,UNPREP",72.51,135,1.87,6.66,0.69,18.28,2.9,,25,0.75,11,29,248,77,0.25,0.077,0.185,0.3,5.7,0.053,0.025,1.133,0.309,0.212,12,0,12,12,,0,84,19,18,,,,,,,0,0,,2.556,2.386,1.374,0
303,"POTATOES,HASH BROWN,FRZ,W/ BUTTER SAU,PREP",63.71,178,2.46,8.79,0.92,24.13,3.8,,33,0.99,15,38,327,101,0.33,0.102,0.244,0.3,3.8,0.052,0.031,1.421,0.367,0.266,13,0,13,13,,0,111,26,24,,,,,,,0,0,,3.373,3.149,1.814,23
304,"POTATOES,FRENCH FR,SHOESTRING,SALT ADDED IN PROC,FRZ,AS PRCH",64.51,167,2.16,6.24,1.5,25.59,2.3,0.2,11,0.72,21,90,379,323,0.36,0.11,0.155,0.5,12.3,0.09,0.034,1.97,0.498,0.17,36,0,36,36,20.8,0,4,0,0,0,2,0,0,14,0.12,0,0,2.6,1.371,3.754,0.307,0
305,"POTATOES,FRENCH FR,SHOESTRNG,SALT ADDED IN PROC,FRZ,OVEN-HTD",56.62,199,2.9,6.76,2.07,31.66,2.8,0.31,12,0.8,25,112,505,400,0.43,0.114,0.187,0.6,14.2,0.129,0.034,2.28,0.554,0.192,33,,33,,,0,5,0,,0,3,0,0,17,0.16,0,0,2.7,1.267,4.058,0.345,0
306,"POTATOES,O'BRIEN,FRZ,UNPREP",79.97,76,1.83,0.14,0.6,17.47,1.9,,13,1.03,18,49,249,33,0.29,0.127,0.119,1.2,11.3,0.054,0.045,1.129,0.428,0.209,8,0,8,8,,0,148,7,0,,,,,,,0,0,,0.032,0.006,0.061,0
307,"POTATOES,O'BRIEN,FRZ,PREP",61.96,204,2.22,13.21,0.75,21.86,1.7,,20,0.96,34,93,473,43,0.55,0.241,0.226,1.2,10.4,0.052,0.135,1.448,0.732,0.377,12,0,12,12,,0,188,9,0,,,,,,,0,0,,3.313,5.824,3.474,0
308,"POTATO PUFFS,FRZ,UNPREP",62.8,178,1.93,8.71,1.75,24.8,2.3,0.28,13,0.47,16,64,247,428,0.26,0.075,0.111,0.3,6.9,0.184,0.061,1.815,0.583,0.194,17,0,17,17,24.9,0,4,0,0,0,3,0,0,15,0.11,0,0,2.5,1.418,3.376,3.14,0
309,"POTATO PUFFS,FRZ,OVEN-HEATED",59.65,192,2.13,9.05,1.89,27.29,2,0.27,14,0.58,17,84,287,463,0.3,0.079,0.127,0.4,4,0.069,0.037,1.449,0.32,0.121,23,0,23,23,25.4,0,5,0,0,0,3,0,0,16,0.26,0,0,3.7,1.657,4.544,2.354,0
310,"POTATOES,FRZ,WHL,UNPREP",79.3,78,2.38,0.16,0.69,17.47,1.2,0.78,8,1.01,13,32,346,25,0.3,0.094,0.223,0.3,14.2,0.154,0.031,1.68,0.374,0.256,13,0,13,13,12.2,0,2,0,0,0,1,0,0,8,0.01,0,0,1.9,0.041,0.003,0.067,0
311,"POTATOES,FRZ,WHL,CKD,BLD,DRND,WO/SALT",82.8,65,1.98,0.13,0.57,14.52,1.4,,7,0.84,11,26,287,20,0.25,0.078,0.185,0.2,9.4,0.102,0.025,1.326,0.28,0.202,8,0,8,8,,0,0,0,0,,,,,,,0,0,,0.034,0.003,0.056,0
312,"POTATOES,FRENCH FR,ALL TYPES,SALT ADDED IN PROC,FRZ,UNPREP",66.61,147,2.24,4.66,1.68,24.81,1.9,0.2,9,0.62,21,83,408,332,0.35,0.093,0.158,,17.3,0.098,0.048,2.038,0.473,0.178,35,0,35,35,22.3,0,4,0,0,0,2,0,0,13,0.1,0,0,2.2,1.005,3.164,0.303,0
313,"POTATOES,FRENCH FR,ALL TYPES,SALT ADDED IN PROC,FRZ,OVEN HTD",64.44,158,2.75,5.48,1.77,25.55,2,0.37,12,0.57,24,87,478,324,0.35,0.104,0.154,0.4,8.6,0.13,0.032,2.077,0.463,0.261,23,0,23,23,23.7,0,5,0,0,0,3,0,0,16,0.39,0,0,7.4,0.848,1.874,1.502,0
314,"POTATOES,FRNCH FR,CTTG-CUT,SALT NOT ADDED,FRZ,AS PRCH",66.82,153,2.42,5.78,1.01,23.98,3,,7,1.05,16,46,338,32,0.29,0.141,0.214,0.3,8.4,0.099,0.023,1.789,0.54,0.18,15,0,15,15,,0,0,0,0,,,,,,,0,0,,2.743,2.345,0.433,0
315,"POTATOES,FRENCH FR,COTTAGE-CUT,SALT NOT ADDED,FRZ,OVEN-HTD",52.9,218,3.44,8.2,1.43,34.03,3.2,,10,1.49,22,65,480,45,0.41,0.2,0.304,0.4,9.5,0.119,0.031,2.413,0.69,0.243,17,0,17,17,,0,0,0,0,,,,,,,0,0,,3.894,3.328,0.615,0
316,"POTATOES,FRZ,FRENCH FR,PAR FR,EXTRUDED,UNPREP",49.94,260,2.83,14.95,2.13,30.15,2.9,,9,1.32,18,77,430,490,0.33,0.032,0.227,0.5,6.3,0.074,0.031,2.241,0.54,0.18,22,0,22,22,,0,0,,0,,,,,,,0,0,,4.544,8.659,1.072,0
317,"POTATOES,FRZ,FRCH FR,PAR FR,EXTRUDED,PREP,HTD OVEN,WO/SALT",35.4,333,3.55,18.71,2.66,39.68,3.2,,12,1.66,23,96,539,613,0.41,0.04,0.285,0.6,6.2,0.08,0.037,2.665,0.608,0.213,22,0,22,22,,0,0,0,0,,,,,,,0,0,,5.96,11.338,1.405,0
318,"USDA COMMODITY,POTATO WEDGES,FRZ",68.3,123,2.7,2.2,1.34,25.5,2,0.3,15,0.7,19,87,394,49,0.37,,,,11.2,0.1,0.04,1.54,,0.35,,,,,,0,0,0,0,,,,,,,0,0,,0.55,1.451,0.102,0
319,"POTATOES,FRENCH FR,STK FRIES,SALT ADDED IN PROC,FRZ,AS PRCH",69.29,133,2.19,3.39,1.61,23.51,1.9,0.2,9,0.65,21,78,400,317,0.36,0.092,0.161,0.4,18.4,0.098,0.072,2.005,0.473,0.168,38,,38,,,0,4,0,,0,2,0,0,12,0.08,0,0,1.8,0.688,2.025,0.218,0
320,"POTATOES,FRENCH FR,STK FRIES,SALT ADDED IN PROC,FRZ,OVEN-HTD",64.85,152,2.57,3.76,1.84,26.98,2.6,0.25,10,0.64,23,90,459,373,0.41,0.095,0.189,,14,0.132,0.029,2.24,0.522,0.192,31,,31,,,0,,,,,,,,,0.08,0,0,2.3,0.737,2.207,0.252,0
321,"POTATO FLOUR",6.52,357,6.9,0.34,3.14,83.1,5.9,3.52,65,1.38,65,168,1001,55,0.54,0.197,0.313,1.1,3.8,0.228,0.051,3.507,0.474,0.769,25,0,25,25,39.5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.09,0.008,0.15,0
322,"POTATO SALAD,HOME-PREPARED",76,143,2.68,8.2,1.95,11.17,1.3,,19,0.65,15,52,254,529,0.31,0.118,0.101,4.1,10,0.077,0.06,0.89,0.534,0.141,7,0,7,7,,0,157,32,29,,36,,,,,0,0,,1.429,2.48,3.737,68
323,"PUMPKIN FLOWERS,RAW",95.15,15,1.03,0.07,0.48,3.28,,,39,0.7,24,49,173,5,,,,0.7,28,0.042,0.075,0.69,,,59,0,59,59,,0,1947,97,0,,,,,,,0,0,,0.036,0.009,0.004,0
324,"PUMPKIN FLOWERS,CKD,BLD,DRND,WO/SALT",95.2,15,1.09,0.08,0.33,3.3,0.9,2.4,37,0.88,25,34,106,6,0.1,0.1,,0.7,5,0.018,0.032,0.31,,0.05,41,0,41,41,13.4,0,1734,87,0,0,1040,0,0,0,0.04,0,0,0,0.041,0.01,0.004,0
325,"PUMPKIN LEAVES,RAW",92.88,19,3.15,0.4,1.24,2.33,,,39,2.22,38,104,436,11,0.2,0.133,0.355,0.9,11,0.094,0.128,0.92,0.042,0.207,36,0,36,36,,0,1942,97,0,,,,,,,0,0,,0.207,0.052,0.022,0
326,"PUMPKIN LEAVES,CKD,BLD,DRND,WO/SALT",92.51,21,2.72,0.22,1.16,3.39,2.7,0.69,43,3.2,38,79,438,8,0.2,0.133,0.355,0.9,1,0.068,0.136,0.85,0.042,0.196,25,0,25,25,21,0,1600,80,0,0,960,0,0,1747,0.96,0,0,108,0.114,0.029,0.012,0
327,"PUMPKIN,RAW",91.6,26,1,0.1,0.8,6.5,0.5,2.76,21,0.8,12,44,340,1,0.32,0.127,0.125,0.3,9,0.05,0.11,0.6,0.298,0.061,16,0,16,16,8.2,0,8513,426,0,4016,3100,0,0,1500,1.06,0,0,1.1,0.052,0.013,0.005,0
328,"PUMPKIN,CKD,BLD,DRND,WO/SALT",93.69,20,0.72,0.07,0.62,4.9,1.1,2.08,15,0.57,9,30,230,1,0.23,0.091,0.089,0.2,4.7,0.031,0.078,0.413,0.201,0.044,9,0,9,9,6.2,0,5755,288,0,2715,2096,0,0,1014,0.8,0,0,0.8,0.037,0.009,0.004,0
329,"PUMPKIN,CND,WO/SALT",89.97,34,1.1,0.28,0.56,8.09,2.9,3.3,26,1.39,23,35,206,5,0.17,0.107,0.149,0.4,4.2,0.024,0.054,0.367,0.4,0.056,12,0,12,12,9.8,0,15563,778,0,4795,6940,0,0,0,1.06,0,0,16,0.146,0.037,0.015,0
330,"PUMPKIN PIE MIX,CANNED",71.49,104,1.09,0.13,0.91,26.39,8.3,,37,1.06,16,45,138,208,0.27,0.068,0.401,1.1,3.5,0.016,0.118,0.374,1.137,0.159,35,0,35,35,,0,8298,415,0,,,,,,,0,0,,0.065,0.016,0.007,0
331,"PURSLANE,RAW",92.86,20,2.03,0.36,1.36,3.39,,,65,1.99,68,44,494,45,0.17,0.113,0.303,0.9,21,0.047,0.112,0.48,0.036,0.073,12,0,12,12,12.8,0,1320,,0,,,,,,,0,0,,,,,0
332,"PURSLANE,CKD,BLD,DRND,WO/SALT",93.52,18,1.49,0.19,1.25,3.55,,,78,0.77,67,37,488,44,0.17,0.114,0.307,0.9,10.5,0.031,0.09,0.46,0.036,0.07,9,0,9,9,,0,1852,93,0,,,,,,,0,0,,,,,0
333,"RADISHES,RAW",95.27,16,0.68,0.1,0.55,3.4,1.6,1.86,25,0.34,10,20,233,39,0.28,0.05,0.069,0.6,14.8,0.012,0.039,0.254,0.165,0.071,25,0,25,25,6.5,0,7,0,0,0,4,0,0,10,0,0,0,1.3,0.032,0.017,0.048,0
334,"RADISHES,ORIENTAL,RAW",94.62,18,0.6,0.1,0.58,4.1,1.6,2.5,27,0.4,16,23,227,21,0.15,0.115,0.038,0.7,22,0.02,0.02,0.2,0.138,0.046,28,0,28,28,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.03,0.017,0.045,0
